,Streams,Track Name,Artist,Artist_popularity,Artist_follower,Streams1,Top10
0,1166185736,Sweet but Psycho,Ava Max,87,very low,high,1
1,1052358787,bad guy,Billie Eilish,98,high,high,1
2,789094044,7 rings,Ariana Grande,97,high,high,1
3,764208309,Dance Monkey,Tones and I,92,very low,high,0
4,763064359,SeÃ±orita,Shawn Mendes,94,high,high,1
5,715027898,Con Calma,Daddy Yankee,95,high,high,0
6,714097238,Shallow,Lady Gaga,89,medium,high,0
7,661930419,Someone You Loved,Lewis Capaldi,92,low,high,0
8,620829467,Happier,Marshmello,90,high,high,0
9,615519053,Wow.,Post Malone,100,high,high,1
10,605653817,Without Me,Halsey,92,medium,high,0
11,591435651,Calma - Remix,Pedro CapÃ³,83,very low,high,0
12,560659214,Dancing With A Stranger (with Normani),Sam Smith,92,high,high,0
13,501130662,Goodbyes (Feat. Young Thug),Post Malone,100,high,high,1
14,499741532,Beautiful People (feat. Khalid),Ed Sheeran,98,high,high,0
15,490147372,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,87,low,high,1
16,486837636,China,Anuel AA,96,medium,high,0
17,478232047,Callaita,Bad Bunny,98,high,high,0
18,471425764,MIDDLE CHILD,J. Cole,91,medium,high,0
19,470921270,High Hopes,Panic! At The Disco,88,medium,high,0
20,458994547,SICKO MODE,Travis Scott,98,medium,high,0
21,457296092,"thank u, next",Ariana Grande,97,high,high,1
22,453524592,I Don't Care (with Justin Bieber),Ed Sheeran,98,high,high,0
23,437732762,"break up with your girlfriend, i'm bored",Ariana Grande,97,high,high,1
24,437445791,Eastside (with Halsey & Khalid),benny blanco,83,very low,high,0
25,428712946,Circles,Post Malone,100,high,high,1
26,428395771,Truth Hurts,Lizzo,88,low,high,0
27,424959272,Going Bad (feat. Drake),Meek Mill,88,low,high,0
28,415230966,Don't Call Me Up,Mabel,82,very low,high,0
29,413902280,Lucid Dreams,Juice WRLD,98,medium,high,0
30,407647986,So Am I,Ava Max,87,very low,high,1
31,405953336,Better Now,Post Malone,100,high,high,1
32,399479470,How Do You Sleep?,Sam Smith,92,high,high,0
33,395449434,rockstar (feat. 21 Savage),Post Malone,100,high,high,1
34,394840154,Lalala,Y2K,81,very low,high,0
35,391247076,Girls Like You (feat. Cardi B),Maroon 5,94,high,high,0
36,391135051,Talk (feat. Disclosure),Khalid,96,medium,high,1
37,385397401,MIA (feat. Drake),Bad Bunny,98,high,high,0
38,383102280,Piece Of Your Heart,MEDUZA,85,very low,high,0
39,383052345,when the party's over,Billie Eilish,98,high,high,1
40,379255058,Otro Trago,Sech,95,low,high,0
41,375966129,Let Me Down Slowly,Alec Benjamin,84,very low,high,0
42,373850485,No Me Conoce - Remix,Jhay Cortez,84,very low,high,0
43,370084251,Memories,Maroon 5,94,high,high,0
44,364821796,I Don't Care (with Justin Bieber),Ed Sheeran,98,high,high,0
45,363263081,Con Altura,ROSALÃA,87,low,high,0
46,361738496,bury a friend,Billie Eilish,98,high,high,1
47,361263328,Money In The Grave (Drake ft. Rick Ross),Drake,99,high,high,0
48,360048630,SAD!,XXXTENTACION,95,high,high,1
49,359061581,i'm so tired...,Lauv,91,low,high,0
50,358927858,Secreto,Anuel AA,96,medium,high,0
51,353713290,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,88,medium,high,0
52,353578651,Shape of You,Ed Sheeran,98,high,high,0
53,353040764,Better,Khalid,96,medium,high,1
54,350601983,LA CANCIÃN,J Balvin,99,high,high,0
55,350047280,Old Town Road,Lil Nas X,87,low,high,1
56,346465962,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,91,low,high,0
57,343080186,Believer,Imagine Dragons,92,high,high,0
58,334669623,Youngblood,5 Seconds of Summer,87,medium,high,0
59,315164968,Sucker,Jonas Brothers,87,low,high,0
60,314664397,Moonlight,XXXTENTACION,95,high,high,1
61,310304897,Perfect,Ed Sheeran,98,high,high,0
62,309682412,HIGHEST IN THE ROOM,Travis Scott,98,medium,high,0
63,307243369,Old Town Road - Remix,Lil Nas X,87,low,high,1
64,307203347,SeÃ±orita,Shawn Mendes,94,high,high,1
65,305423901,Bohemian Rhapsody - 2011 Mix,Queen,93,high,high,1
66,301330276,Baila Baila Baila,Ozuna,98,high,high,0
67,296598553,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,88,medium,high,0
68,290429693,Soltera - Remix,Lunay,88,very low,high,0
69,290392031,2002,Anne-Marie,86,medium,high,0
70,288231385,I Like Me Better,Lauv,91,low,high,0
71,287730019,Don't Stop Me Now - 2011 Mix,Queen,93,high,high,1
72,286923182,Te RobarÃ©,Nicky Jam,94,medium,high,0
73,283806127,Sucker,Jonas Brothers,87,low,high,0
74,282065182,11 PM,Maluma,92,high,high,0
75,281985613,Say You Won't Let Go,James Arthur,87,medium,high,0
76,281633683,No Guidance (feat. Drake),Chris Brown,93,medium,high,0
77,280915497,hot girl bummer,blackbear,90,low,high,0
78,278801574,Giant (with Rag'n'Bone Man),Calvin Harris,90,high,high,0
79,276114065,Another One Bites The Dust - Remastered 2011,Queen,93,high,high,1
80,272374472,Here With Me,Marshmello,90,high,high,0
81,270623566,lovely (with Khalid),Billie Eilish,98,high,high,1
82,268726609,Drip Too Hard (Lil Baby & Gunna),Lil Baby,93,low,high,0
83,268148985,Suge,DaBaby,95,low,high,0
84,267397652,In My Mind,Dynoro,78,very low,high,0
85,266393254,Verte Ir,DJ Luian,82,very low,high,0
86,261504425,Boy With Luv (feat. Halsey),BTS,93,high,high,0
87,260460676,Jocelyn Flores,XXXTENTACION,95,high,high,1
88,258870697,Thunder,Imagine Dragons,92,high,high,0
89,256405301,Murder On My Mind,YNW Melly,90,low,high,0
90,253198861,Never Really Over,Katy Perry,89,high,high,0
91,250126582,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,98,high,high,0
92,249679896,God's Plan,Drake,99,high,high,0
93,248946391,Adan y Eva,Paulo Londra,86,medium,high,0
94,248318646,wish you were gay,Billie Eilish,98,high,high,1
95,247670122,Lose You To Love Me,Selena Gomez,93,high,high,0
96,245999607,Look Back at It,A Boogie Wit da Hoodie,91,low,high,0
97,244663742,Higher Love,Kygo,89,medium,high,0
98,243846086,If I Can't Have You,Shawn Mendes,94,high,high,1
99,243022680,QUE PRETENDES,J Balvin,99,high,high,0
100,241871669,3 Nights,Dominic Fike,78,very low,high,0
101,241771587,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,87,medium,high,0
102,234743093,ZEZE,Kodak Black,87,medium,high,0
103,232540653,I Like It,Cardi B,92,medium,high,0
104,231359951,It's You,Ali Gatie,82,very low,high,0
105,231333261,Too Good At Goodbyes,Sam Smith,92,high,high,0
106,225763114,Otro Trago - Remix,Sech,95,low,high,0
107,224475222,Ride It,Regard,83,very low,high,0
108,220843950,boyfriend (with Social House),Ariana Grande,97,high,high,1
109,214189803,Don't Start Now,Dua Lipa,93,high,high,0
110,212689345,RITMO (Bad Boys For Life),The Black Eyed Peas,88,low,high,0
111,209597510,Te Vi,Piso 21,84,medium,high,0
112,209280692,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,100,high,high,1
113,208735836,Adicto (with Anuel AA & Ozuna),Tainy,86,very low,high,0
114,208239865,a lot,21 Savage,90,medium,high,0
115,207066874,Saturday Nights,Khalid,96,medium,high,1
116,206233231,Promises (with Sam Smith),Calvin Harris,90,high,high,0
117,205286838,ROXANNE,Arizona Zervas,89,very low,high,0
118,204469447,Rescue Me,OneRepublic,86,medium,high,0
119,203856399,"Yo x Ti, Tu x Mi",ROSALÃA,87,low,high,0
120,202327212,Havana (feat. Young Thug),Camila Cabello,96,high,high,0
121,201259287,Amanece,Anuel AA,96,medium,high,0
122,200055329,Pa MÃ­ - Remix,Dalex,93,very low,high,0
123,199941831,Tutu,Camilo,86,very low,high,0
124,199561494,Body (feat. brando),Loud Luxury,78,very low,high,0
125,195603663,Psycho (feat. Ty Dolla $ign),Post Malone,100,high,high,1
126,195029499,Photograph,Ed Sheeran,98,high,high,0
127,193969417,Bad Liar,Imagine Dragons,92,high,high,0
128,193331911,"10,000 Hours (with Justin Bieber)",Dan + Shay,85,low,high,0
129,193248040,Closer,The Chainsmokers,91,high,high,0
130,193127265,Under Pressure - Remastered,Queen,93,high,high,1
131,193090742,Pure Water (with Migos),Mustard,86,very low,high,0
132,190034741,lovely,Billie Eilish,98,high,high,1
133,185239405,idontwannabeyouanymore,Billie Eilish,98,high,high,1
134,185142138,Be Alright,Dean Lewis,83,very low,high,0
135,184771732,Panini,Lil Nas X,87,low,high,1
136,183562149,Mo Bamba,Sheck Wes,78,very low,high,0
137,182748769,Only Human,Jonas Brothers,87,low,high,0
138,181600204,One Thing Right,Marshmello,90,high,high,0
139,179844243,One Kiss (with Dua Lipa),Calvin Harris,90,high,high,0
140,179652252,bury a friend,Billie Eilish,98,high,high,1
141,178836034,Ransom,Lil Tecca,88,low,high,0
142,177946722,everything i wanted,Billie Eilish,98,high,high,1
143,177745215,Desconocidos,Mau y Ricky,83,low,high,0
144,177312035,EARFQUAKE,"Tyler, The Creator",87,low,high,0
145,177166322,Bandit (with YoungBoy Never Broke Again),Juice WRLD,98,medium,high,0
146,175754033,The Middle,Zedd,86,medium,high,0
147,175735987,SOS (feat. Aloe Blacc),Avicii,89,high,high,0
148,174000961,ocean eyes,Billie Eilish,98,high,high,1
149,173624643,If I Can't Have You,Shawn Mendes,94,high,high,1
150,172766601,Tal Vez,Paulo Londra,86,medium,high,0
151,172267436,7 rings,Ariana Grande,97,high,high,1
